+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                   ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                               ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|rdempty_eq_comp_msb                                                                      ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|rdempty_eq_comp_lsb                                                                      ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|rdempty_eq_comp1_msb                                                                     ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|rdempty_eq_comp1_lsb                                                                     ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|ws_dgrp|dffpipe20                                                                        ; 9     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|ws_dgrp                                                                                  ; 9     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|ws_bwp                                                                                   ; 9     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|ws_brp                                                                                   ; 9     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|rs_dgwp|dffpipe16                                                                        ; 9     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|rs_dgwp                                                                                  ; 9     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|rdaclr                                                                                   ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|fifo_ram                                                                                 ; 50    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|wrptr_gp                                                                                 ; 2     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|wrptr_g1p                                                                                ; 2     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|rdptr_g1p                                                                                ; 3     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|ws_dgrp_gray2bin                                                                         ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|wrptr_g_gray2bin                                                                         ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated                                                                                          ; 36    ; 0              ; 0            ; 0              ; 40     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock                                                                                                                   ; 38    ; 0              ; 2            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|pixel_buffer|Image_Buffer|auto_generated|dpfifo|wr_ptr                                                                            ; 3     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|pixel_buffer|Image_Buffer|auto_generated|dpfifo|usedw_counter                                                                     ; 4     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|pixel_buffer|Image_Buffer|auto_generated|dpfifo|rd_ptr_msb                                                                        ; 3     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|pixel_buffer|Image_Buffer|auto_generated|dpfifo|three_comparison                                                                  ; 14    ; 7              ; 0            ; 7              ; 1      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|pixel_buffer|Image_Buffer|auto_generated|dpfifo|almost_full_comparer                                                              ; 14    ; 7              ; 0            ; 7              ; 1      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|pixel_buffer|Image_Buffer|auto_generated|dpfifo|FIFOram                                                                           ; 26    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|pixel_buffer|Image_Buffer|auto_generated|dpfifo                                                                                   ; 14    ; 0              ; 0            ; 0              ; 19     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|pixel_buffer|Image_Buffer|auto_generated                                                                                          ; 14    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|pixel_buffer                                                                                                                      ; 53    ; 0              ; 0            ; 0              ; 77     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|vga_controller|VGA_Timing                                                                                                         ; 18    ; 0              ; 1            ; 0              ; 23     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|vga_controller                                                                                                                    ; 35    ; 0              ; 19           ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0|the_t_vga_v1_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|wr_ptr                                                  ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0|the_t_vga_v1_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|rd_ptr_count                                            ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0|the_t_vga_v1_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram|altsyncram2                                     ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0|the_t_vga_v1_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram                                                 ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0|the_t_vga_v1_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state|count_usedw                                  ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0|the_t_vga_v1_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state                                              ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0|the_t_vga_v1_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo                                                         ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0|the_t_vga_v1_jtag_uart_0_scfifo_r|rfifo|auto_generated                                                                ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0|the_t_vga_v1_jtag_uart_0_scfifo_r                                                                                     ; 13    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0|the_t_vga_v1_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|wr_ptr                                                  ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0|the_t_vga_v1_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|rd_ptr_count                                            ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0|the_t_vga_v1_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram|altsyncram2                                     ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0|the_t_vga_v1_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram                                                 ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0|the_t_vga_v1_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state|count_usedw                                  ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0|the_t_vga_v1_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state                                              ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0|the_t_vga_v1_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo                                                         ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0|the_t_vga_v1_jtag_uart_0_scfifo_w|wfifo|auto_generated                                                                ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0|the_t_vga_v1_jtag_uart_0_scfifo_w                                                                                     ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0                                                                                                                       ; 38    ; 10             ; 23           ; 10             ; 34     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|up_clocks                                                                                                                         ; 2     ; 0              ; 1            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_nios2_oci|the_t_vga_v1_cpu_v1_jtag_debug_module_wrapper|the_t_vga_v1_cpu_v1_jtag_debug_module_sysclk   ; 43    ; 0              ; 0            ; 0              ; 51     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_nios2_oci|the_t_vga_v1_cpu_v1_jtag_debug_module_wrapper|the_t_vga_v1_cpu_v1_jtag_debug_module_tck      ; 130   ; 0              ; 1            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_nios2_oci|the_t_vga_v1_cpu_v1_jtag_debug_module_wrapper                                                ; 123   ; 0              ; 0            ; 0              ; 53     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_nios2_oci|the_t_vga_v1_cpu_v1_nios2_oci_im                                                             ; 97    ; 36             ; 93           ; 36             ; 48     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_nios2_oci|the_t_vga_v1_cpu_v1_nios2_oci_pib                                                            ; 39    ; 20             ; 38           ; 20             ; 19     ; 20              ; 20            ; 20              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_nios2_oci|the_t_vga_v1_cpu_v1_nios2_oci_fifo|the_t_vga_v1_cpu_v1_oci_test_bench                        ; 36    ; 0              ; 36           ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_nios2_oci|the_t_vga_v1_cpu_v1_nios2_oci_fifo|t_vga_v1_cpu_v1_nios2_oci_fifocount_inc_fifocount         ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_nios2_oci|the_t_vga_v1_cpu_v1_nios2_oci_fifo|t_vga_v1_cpu_v1_nios2_oci_fifowp_inc_fifowp               ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_nios2_oci|the_t_vga_v1_cpu_v1_nios2_oci_fifo|t_vga_v1_cpu_v1_nios2_oci_compute_tm_count_tm_count       ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_nios2_oci|the_t_vga_v1_cpu_v1_nios2_oci_fifo                                                           ; 151   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_nios2_oci|the_t_vga_v1_cpu_v1_nios2_oci_dtrace|t_vga_v1_cpu_v1_nios2_oci_trc_ctrl_td_mode              ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_nios2_oci|the_t_vga_v1_cpu_v1_nios2_oci_dtrace                                                         ; 110   ; 0              ; 99           ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_nios2_oci|the_t_vga_v1_cpu_v1_nios2_oci_itrace                                                         ; 25    ; 17             ; 23           ; 17             ; 87     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_nios2_oci|the_t_vga_v1_cpu_v1_nios2_oci_dbrk                                                           ; 95    ; 0              ; 0            ; 0              ; 99     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_nios2_oci|the_t_vga_v1_cpu_v1_nios2_oci_xbrk                                                           ; 61    ; 5              ; 58           ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_nios2_oci|the_t_vga_v1_cpu_v1_nios2_oci_break                                                          ; 52    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_nios2_oci|the_t_vga_v1_cpu_v1_nios2_avalon_reg                                                         ; 48    ; 0              ; 28           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_nios2_oci|the_t_vga_v1_cpu_v1_nios2_ocimem|t_vga_v1_cpu_v1_ociram_sp_ram|the_altsyncram|auto_generated ; 46    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_nios2_oci|the_t_vga_v1_cpu_v1_nios2_ocimem|t_vga_v1_cpu_v1_ociram_sp_ram                               ; 46    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_nios2_oci|the_t_vga_v1_cpu_v1_nios2_ocimem                                                             ; 91    ; 0              ; 6            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_nios2_oci|the_t_vga_v1_cpu_v1_nios2_oci_debug                                                          ; 50    ; 1              ; 30           ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_nios2_oci                                                                                              ; 171   ; 0              ; 0            ; 0              ; 69     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|t_vga_v1_cpu_v1_register_bank_b|the_altsyncram|auto_generated                                                              ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|t_vga_v1_cpu_v1_register_bank_b                                                                                            ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|t_vga_v1_cpu_v1_register_bank_a|the_altsyncram|auto_generated                                                              ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|t_vga_v1_cpu_v1_register_bank_a                                                                                            ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1|the_t_vga_v1_cpu_v1_test_bench                                                                                             ; 293   ; 3              ; 256          ; 3              ; 34     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1                                                                                                                            ; 148   ; 0              ; 31           ; 0              ; 124    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController                                                                                                                                   ; 22    ; 0              ; 0            ; 0              ; 106    ; 0               ; 0             ; 0               ; 40    ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl                                                                                                                                                 ; 22    ; 0              ; 0            ; 0              ; 106    ; 0               ; 0             ; 0               ; 40    ; 0              ; 0            ; 0                ; 0                 ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
